City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,61.02,76,100,17.0,NZ,1704164453
1,hadibu,12.65,54.0333,74.93,73,41,10.92,YE,1704164721
2,rio preto da eva,-2.6994,-59.6997,79.48,81,96,2.48,BR,1704164722
3,port-aux-francais,-49.35,70.2167,41.2,84,99,36.06,TF,1704164722
4,kalach,50.4258,41.0261,34.72,84,100,13.49,RU,1704164723
5,kodiak,57.79,-152.4072,38.71,87,100,26.46,US,1704164723
6,adamstown,-25.066,-130.1015,74.37,83,99,8.75,PN,1704164724
7,alice springs,-23.7,133.8833,99.95,11,34,6.91,AU,1704164725
8,talnakh,69.4865,88.3972,-23.8,87,52,1.36,RU,1704164725
9,pisco,-13.7,-76.2167,71.65,88,75,9.22,PE,1704164726
10,harnosand,62.6323,17.9379,10.4,92,99,10.04,SE,1704164727
11,port elizabeth,-33.918,25.5701,69.1,94,0,10.36,ZA,1704164727
12,annau,37.8876,58.516,38.7,81,40,4.61,TM,1704164728
13,novyy turtkul',41.55,61.0167,22.91,87,91,5.95,UZ,1704164728
14,edinburgh of the seven seas,-37.0676,-12.3116,61.57,89,100,3.94,SH,1704164729
15,blackmans bay,-43.0167,147.3167,70.74,71,99,3.0,AU,1704164729
16,kingston,17.997,-76.7936,77.95,89,75,6.91,JM,1704164381
17,manaure,11.7751,-72.4445,79.02,79,8,14.61,CO,1704164730
18,ust'-ilimsk,58.0006,102.6619,-4.77,100,99,4.0,RU,1704164731
19,taroa,8.7058,171.2275,82.29,70,42,18.77,MH,1704164731
20,luganville,-15.5333,167.1667,85.24,73,90,8.3,VU,1704164732
21,bredasdorp,-34.5322,20.0403,65.16,94,37,9.01,ZA,1704164733
22,klyuchi,52.2667,79.1667,31.62,83,100,17.58,RU,1704164733
23,olyokminsk,60.3736,120.4264,10.04,93,100,4.56,RU,1704164734
24,grytviken,-54.2811,-36.5092,33.12,76,71,7.0,GS,1704164734
25,iqaluit,63.7506,-68.5145,-15.07,70,75,9.22,CA,1704164497
26,jamestown,42.097,-79.2353,27.72,89,100,8.05,US,1704164735
27,isafjordur,66.0755,-23.124,38.61,95,100,11.68,IS,1704164736
28,st. paul,44.9444,-93.0933,25.77,90,0,9.22,US,1704164532
29,silver city,32.7701,-108.2803,45.68,41,100,6.91,US,1704164737
30,hamilton,39.1834,-84.5333,37.44,80,100,5.99,US,1704164191
31,rongelap,11.1635,166.8941,82.29,74,96,15.61,MH,1704164738
32,ilulissat,69.2167,-51.1,17.62,32,23,10.36,GL,1704164739
